102001139	1	25
102001144	1	30
102001163	1	25
102001171	1	20
102001175	1	10
102001176	1	10
102001185	1	20
101901032	1	25
101901036	1	30
100000879	1	5
101901049	1	25
101901053	1	20
101901059	1	10
101901060	1	10
101901069	1	20
101801113	1	25
101801118	1	30
101801137	1	25
101801143	1	20
100001345	1	25
100101025	1	25
100201187	1	25
100501038	1	25
100601090	1	25
100901038	1	25
101300981	1	25
101501053	1	25
101701062	1	25
115001384	1	25
101801148	1	10
101801149	1	10
101801158	1	20
100001612	1	30
100001640	1	10
100001656	1	20
100001597	1	10
100001598	1	10
100001605	1	20
100101231	1	10
100101232	1	10
101300997	1	20
100101043	1	20
100601110	1	20
100901059	1	20
101701089	1	20
100201211	1	20
100001365	1	20
100501054	1	20
101501075	1	20
100101233	1	20
100101239	1	30
100101259	1	10
100101268	1	20
100201405	1	10
100201406	1	10
100201407	1	25
100201415	1	30
100201434	1	10
100201443	1	20
100501222	1	10
100501223	1	10
100001389	1	25
100101070	1	25
100201232	1	25
100501081	1	25
100601137	1	25
100901088	1	25
101301025	1	25
101501106	1	25
101701118	1	25
100001397	1	20
100101074	1	20
100201236	1	20
100501085	1	20
100601141	1	20
100901092	1	20
101301029	1	20
101501110	1	20
101701122	1	20
100001387	1	20
100101062	1	20
100201230	1	20
100501073	1	20
100601129	1	20
100901079	1	20
101301016	1	20
101501094	1	20
101701109	1	20
100001463	1	20
100101109	1	20
100201272	1	20
100501116	1	20
100601197	1	20
100901125	1	20
101301061	1	20
101501142	1	20
101701160	1	20
100001462	1	20
100101108	1	20
100201271	1	20
100501115	1	20
100601196	1	20
100901124	1	20
101301060	1	20
101501141	1	20
101701159	1	20
100501224	1	20
100501229	1	30
100501240	1	20
100501241	1	20
100501249	1	10
100501258	1	20
100601315	1	10
100601316	1	10
100501056	1	20
100501057	1	20
100601109	1	20
100601111	1	20
100601112	1	20
100601113	1	20
100901057	1	20
100901107	1	20
100901058	1	20
100901060	1	20
100901061	1	20
100901062	1	20
101300996	1	20
101300998	1	20
101300999	1	20
101301000	1	20
101501073	1	20
101501074	1	20
101501076	1	20
101501077	1	20
101501078	1	20
101701088	1	20
101701090	1	20
101701091	1	20
101701092	1	20
100001414	1	20
100001415	1	20
100001416	1	20
100001417	1	20
100101091	1	20
100101092	1	20
100101093	1	20
100101094	1	20
100201253	1	20
100001366	1	20
100001367	1	20
100001368	1	20
100101041	1	20
100101042	1	20
100101044	1	20
100101045	1	20
100101046	1	20
100201210	1	20
100201212	1	20
100201213	1	20
100201214	1	20
100501053	1	20
100501055	1	20
100901108	1	20
100901109	1	20
100901110	1	20
101301044	1	20
101301045	1	20
101301046	1	20
101301047	1	20
101501125	1	20
101501126	1	20
101501127	1	20
101501128	1	20
101701136	1	20
101701137	1	20
101701138	1	20
101701139	1	20
100201255	1	20
100201256	1	20
100501099	1	20
100501100	1	20
100501101	1	20
100501102	1	20
100601155	1	20
100601156	1	20
100601157	1	20
100601158	1	20
100101092	1	20
100001415	1	20
100201254	1	20
100501100	1	20
100601156	1	20
100901108	1	20
101301045	1	20
101501126	1	20
101701137	1	20
100001563	1	20
